"pg","era","date","season","week","neutral","playoff","visitor","visitor.abbr","home","home.abbr","visitor.score","v.offense","v.defense","home.score","h.offense","h.defense","margin","home.wins","visitor.elo.538","home.elo.538","home.prob.538"
"https://www.pro-football-reference.com/boxscores/192009260rii.htm",1,1920-09-26,1920,4,0,0,"St. Paul Ideals","STP","Rock Island Independents","RII",0,0,0,48,41,7,48,1,1300,1503.947,0.824651200949252
"https://www.pro-football-reference.com/boxscores/192010030rch.htm",1,1920-10-03,1920,5,0,0,"All Buffalo","ABU","Rochester Jeffersons","RCH",0,0,0,10,10,0,10,1,1300,1503.42,0.824212097337339
"https://www.pro-football-reference.com/boxscores/192010030day.htm",1,1920-10-03,1920,5,0,0,"Columbus Panhandles","COL","Dayton Triangles","DAY",0,0,0,14,7,7,14,1,1504.908,1493.002,0.575819124092072
"https://www.pro-football-reference.com/boxscores/192010030chi.htm",1,1920-10-03,1920,5,0,0,"Moline Universal Tractors","MUT","Decatur Staleys","CHI",0,0,0,20,20,0,20,1,1300,1368.333,0.682985571491371
"https://www.pro-football-reference.com/boxscores/192010030akr.htm",1,1920-10-03,1920,5,0,0,"Wheeling Stogies","WHE","Akron Pros","AKR",0,0,0,43,28,15,43,1,1300,1503.42,0.824212097337339
"https://www.pro-football-reference.com/boxscores/192010030rii.htm",1,1920-10-03,1920,5,0,0,"Muncie Flyers","MUN","Rock Island Independents","RII",0,0,0,45,24,21,45,1,1478.004,1516.108,0.644171090112636
"https://www.pro-football-reference.com/boxscores/192010030cbd.htm",1,1920-10-03,1920,5,0,0,"Pitcairn Quakers","PTQ","Canton Bulldogs","CBD",0,0,0,48,42,6,48,1,1300,1504.688,0.825267150778299
"https://www.pro-football-reference.com/boxscores/192010030bff.htm",1,1920-10-03,1920,5,0,0,"West Buffalo","WBU","Buffalo All-Americans","BFF",6,6,0,32,32,0,26,1,1300,1478.004,0.802000300548703
"https://www.pro-football-reference.com/boxscores/192010100cht.htm",1,1920-10-10,1920,6,0,0,"Chicago Cardinals","ARI","Chicago Tigers","CHT",0,0,0,0,0,0,0,0.5,1493.002,1300,0.32369581012897
"https://www.pro-football-reference.com/boxscores/192010100day.htm",1,1920-10-10,1920,6,0,0,"Cleveland Tigers","CTI","Dayton Triangles","DAY",0,0,0,0,0,0,0,0.5,1464.506,1515.434,0.660906211954999
"https://www.pro-football-reference.com/boxscores/192010100rii.htm",1,1920-10-10,1920,6,0,0,"Hammond Pros","HAM","Rock Island Independents","RII",0,0,0,26,26,0,26,1,1444.259,1542.135,0.718612515669911
"https://www.pro-football-reference.com/boxscores/192010100akr.htm",1,1920-10-10,1920,6,0,0,"Columbus Panhandles","COL","Akron Pros","AKR",0,0,0,37,28,9,37,1,1482.475,1515.278,0.637146241697558
